DateTime,AddedIPs,RemovedIPs
1603716040,81,146
1603723212,142,79
1603730407,90,81
1603737607,89,94
1603745049,86,119
1603752254,102,97
1603759497,88,96
1603767392,106,106
1603774593,113,100
1603781800,70,116
1603788992,106,72
1603796200,83,99
